learning_rate,reg,hidden_size,val_accuracy,elapsed_time_sec
0.1,0.1,256,0.4054,68.81640768051147
0.1,0.1,512,0.409,136.51353073120117
0.1,0.1,1024,0.408,243.74079775810242
0.1,0.01,256,0.4776,80.6625566482544
0.1,0.01,512,0.4968,129.9124641418457
0.1,0.01,1024,0.492,232.24671125411987
0.1,0.001,256,0.513,80.5269033908844
0.1,0.001,512,0.5238,129.30895256996155
0.1,0.001,1024,0.4614,138.75375652313232
0.01,0.1,256,0.4136,80.81966304779053
0.01,0.1,512,0.4174,130.2638602256775
0.01,0.1,1024,0.4154,231.3707628250122
0.01,0.01,256,0.4734,80.037846326828
0.01,0.01,512,0.4808,129.36911487579346
0.01,0.01,1024,0.4866,229.88061141967773
0.01,0.001,256,0.4756,79.8253448009491
0.01,0.001,512,0.4856,129.013840675354
0.01,0.001,1024,0.4934,230.77654361724854
